companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:SGIL,S,Synergy Green Industries Ltd,785.47,505.35,"Castings, Forgings & Fastners","Castings, Forgings & Fastners",50.23,2.24,3.53,19.74,-30.18,7.02,-0.7,-3.98,-4.25,-6.63,513.37,19.36,20.2,342,1.79,2.38,0,0.21,69.39,-4.65,13.14,29.04,-13.83,-19.02,47.76,20.2,-97.05,-31.35,89.36,34.03,null,78.62,200.52,79.93
NSE:SYNGENE,C,Syngene International Ltd,25268.33,627.1,Pharma - API & CRAMS,Healthcare,53.78,6.74,8.57,-2.84,-22.61,5.34,0.03,-2.98,-2.08,-6.09,647.17,24.55,27.28,599.55,0.12,0.23,7.14,-4.41,52.68,-2.04,12.43,3.76,4.13,2.2,4.6,34.72,235.31,112.08,989.2,1266.1,3049,2851.3,581.6,555.2
BSE:SYNTHFO,S,Synthiko Foils Ltd,2304.67,1591.75,Aluminium,Non Ferrous Metals,62.32,159.05,-40.91,372.34,-100.85,2.18,-1.8,-1.64,21.97,256.26,1666.02,-5734.68,13.87,205.5,0,0.03,6.35,0.03,55.78,3.5,30.07,314.52,-100,-100,674.57,13.87,978.52,435.47,0,0,null,1.16,0,0
NSE:SYRMA,C,Syrma SGS Technology Ltd,13655.29,708.15,Consumer Electronics - EMS,Electronics,56.02,3.52,1.09,91.82,32.89,4.86,-0.92,-1.49,-10.34,1.56,726.15,34.19,22.17,370,0.12,0.24,9.94,-3.3,42.97,-3.92,11.85,86.28,21.39,37.6,91.39,22.17,95.67,54.58,77.04,65.56,1144.01,1081.6,331.55,629.89
BSE:SYSTMTXC,C,Systematix Corporate Services Ltd,1408.39,103.15,Finance & Investments - Others,Finance,29.73,8.44,-0.32,-34.06,38.43,4.36,-5.11,-35.99,-35.61,-8.88,132.22,21.25,45.58,94.43,0.06,0.21,0,4.39,70.58,-3.65,18.96,-31.56,42.25,51.95,9.23,69.29,-43.99,-65.38,null,0,21.46,16.7,20.3,20.56
BSE:TAALTECH,C,TAAL Tech Ltd,947.9,3041.7,Air Transport Service,Air Transport Service,18.41,5.19,-2.67,19.78,4.08,4.26,-0.31,3.49,-7.53,-10.13,2957.08,15.8,29.98,2100,0.01,0.08,0.15,0.07,50.8,-0.18,31.19,19.9,6.69,-0.59,44.84,29.98,84.09,69.94,0,0,4.39,10.15,2.47,6.8
NSE:TAC,C,TAC Infosec Ltd,1593.26,757.75,IT - Software,IT - Software,57.84,33.48,149.95,118.39,87.59,28.81,12.79,-5.81,0.88,67.19,742.57,55.13,15.77,409.5,0.03,null,null,null,56.96,null,28.51,153.43,62.93,137.82,85.04,15.77,130.76,126.48,5.85,1.07,null,null,1.52,null
NSE:TAJGVK,C,TajGVK Hotels & Resorts Ltd,2518.72,401.7,Hotels,Hotels & Restaurants,19.54,5.41,9.49,29.94,11.42,3.65,-1.87,6.59,-3.19,-5.36,413.77,17.53,23.93,330.2,0.12,0.31,1.43,-0.78,71,-3.99,18.97,18.78,0.74,1.91,21.65,23.93,122.48,83.57,182.7,115.78,426.21,442.13,82.61,108.16
NSE:TAKE,C,Take Solutions Ltd,616,41.64,Miscellaneous,Healthcare,12.62,null,null,-140.8,791.21,23.93,-2.28,19.11,112.67,334.66,40.26,-133.02,7.47,6.51,0,0.43,0,0,5.19,-48.22,21.3,-106.78,null,null,539.63,86.49,-2217.62,218.94,0,0,0,30.25,0,37.09
NSE:TALBROAUTO,C,Talbros Automotive Components Ltd,1679.31,272.05,Auto Ancillaries - Axle shafts,Auto Ancillaries,17.54,2.03,0.74,-17.9,4.05,2.46,0.8,-5.91,-7.65,-7.1,274.72,13.31,16.55,200.2,0.13,0.24,0.08,-0.07,58.43,0,17.38,-22.97,3.09,-1.04,35.89,31.27,84.74,61.75,26.44,22.74,215.58,212.17,86.01,98.7
