"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"TEMBO","Tembo Global Industries Limited","7(2)","Fatema Shabbir Kachwala","Promoters","Warrants","3354200","17.33",,"600000","73800000","Buy","Warrants","3954200","19.24","18-Dec-2025","18-Dec-2025","22-Dec-2025","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Dec-2025 22:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192167_1589912_24122025102611_WEB.xml"
"TEMBO","Tembo Global Industries Limited","7(2)","Piyush Jashbhai Patel","Promoters","Warrants","712100","3.68",,"500000","61500000","Buy","Warrants","1212100","5.9","18-Dec-2025","18-Dec-2025","22-Dec-2025","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Dec-2025 22:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192167_1589912_24122025102611_WEB.xml"
"SMCGLOBAL","Smc Global Securities Limited","7(2)","Jai Ambey Share Broking Ltd.","Promoter Group","Equity Shares","2973340","1.42",,"1863340","159408737","Sell","Equity Shares","1110000","0.53","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NA","-","24-Dec-2025 18:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192162_1589861_24122025065729_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","P N Raju","Promoter Group","Equity Shares","425500","0.94",,"50000","9860500","Sell","Equity Shares","375500","0.83","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192160_1589854_24122025065400_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Jagdish Purandare","Employees/Designated Employees","Equity Shares","4731","0.05",,"4644","46440","Buy","Equity Shares","9375","0.09","24-Dec-2025","24-Dec-2025","24-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192158_1589846_24122025065107_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Manisha Bakshi","Employees/Designated Employees","Equity Shares","576","0",,"411","4110","Buy","Equity Shares","987","0","24-Dec-2025","24-Dec-2025","24-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192158_1589846_24122025065107_WEB.xml"
"ZEEMEDIA","Zee Media Corporation Limited","7(2)","AUV Innovations LLP","Promoter Group","Equity Shares","38984375","6.23",,"4734386","43232519","Buy","Equity Shares","43718761","6.99","22-Dec-2025","22-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192156_1589836_24122025064121_WEB.xml"
"ZEEMEDIA","Zee Media Corporation Limited","7(2)","AUV Innovations LLP","Promoter Group","Equity Shares","43718761","6.99",,"15115614","142321063","Buy","Equity Shares","58834375","9.41","24-Dec-2025","24-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192156_1589836_24122025064121_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","-","Director","Equity Shares","1092079","12.2",,"3235","135115","Buy","Equity Shares","1095314","12.23","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192154_1589822_24122025062546_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","MADHAV DOSHI","Director","Equity Shares","1091079","12.19",,"1000","41768","Buy","Equity Shares","1092079","12.2","19-Dec-2025","19-Dec-2025","22-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192154_1589822_24122025062546_WEB.xml"
"TVTODAY","TV Today Network Limited","7(2)","LIVING MEDIA INDIA LIMITED","Promoters","Equity Shares","36341078","60.9",,"450000","60480000","Buy","Equity Shares","36791078","61.66","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192152_1589814_24122025062014_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL Buildtek Ltd","Promoter Group","Equity Shares","472003","1.04",,"17309","3409873","Buy","Equity Shares","489312","1.08","22-Dec-2025","22-Dec-2025","23-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192149_1589802_24122025061507_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4866645","0.2",,"1108","1214495","Sell","Equity Shares","4865537","0.2","22-Dec-2025","22-Dec-2025","23-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4868556","0.2",,"1761","1761","Sell","Equity Shares","4866795","0.2","19-Dec-2025","19-Dec-2025","23-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","4873338","0.2",,"4782","4782","Sell","Equity Shares","4868556","0.2","19-Dec-2025","19-Dec-2025","23-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4873428","0.2",,"90","97029","Sell","Equity Shares","4873338","0.2","19-Dec-2025","19-Dec-2025","23-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4847771","0.2",,"321","351001","Sell","Equity Shares","4847450","0.2","24-Dec-2025","24-Dec-2025","24-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4853773","0.2",,"6002","6002","Sell","Equity Shares","4847771","0.2","23-Dec-2025","23-Dec-2025","24-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","4864394","0.2",,"10621","10621","Sell","Equity Shares","4853773","0.2","23-Dec-2025","23-Dec-2025","24-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","4864920","0.2",,"526","578074","Sell","Equity Shares","4864394","0.2","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","4865537","0.2",,"617","678129","Sell","Equity Shares","4864920","0.2","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","4866795","0.2",,"150","164452","Sell","Equity Shares","4866645","0.2","22-Dec-2025","22-Dec-2025","23-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192147_1589798_24122025061428_WEB.xml"
"GALLANTT","Gallantt Ispat Limited","7(2)","Smriti Agrawal","Promoter Group","Equity Shares","2549775","1.06",,"2349775","-","Sell","Equity Shares","200000","0.08","23-Dec-2025","23-Dec-2025","24-Dec-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Dec-2025 18:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192144_1589789_24122025060954_WEB.xml"
"GALLANTT","Gallantt Ispat Limited","7(2)","Pallavi Agrawal","Promoter Group","Equity Shares","2497500","1.04",,"2297500","-","Sell","Equity Shares","200000","0.08","23-Dec-2025","23-Dec-2025","24-Dec-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Dec-2025 18:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192144_1589789_24122025060954_WEB.xml"
"GALLANTT","Gallantt Ispat Limited","7(2)","Santosh Kumar Agrawal","Promoter Group","Equity Shares","8901783","3.69",,"2349775","-","Buy","Equity Shares","11251558","4.66","23-Dec-2025","23-Dec-2025","24-Dec-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Dec-2025 18:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192144_1589789_24122025060954_WEB.xml"
"GALLANTT","Gallantt Ispat Limited","7(2)","Chandra Prakash Agrawal","Promoters","Equity Shares","86780523","35.97",,"2297500","-","Buy","Equity Shares","89078023","36.92","23-Dec-2025","23-Dec-2025","24-Dec-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Dec-2025 18:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192144_1589789_24122025060954_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Ajay R Patel","Employees/Designated Employees","Equity Shares","84146","0.01",,"1010","10100","Buy","Equity Shares","85156","0.01","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Bhushan Shenolikar","Employees/Designated Employees","Equity Shares","Nil","0",,"1870","343024","Buy","Equity Shares","1870","0","22-Dec-2025","22-Dec-2025","22-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Pallavi Chauhan","Employees/Designated Employees","Equity Shares","Nil","0",,"17482","3540105","Buy","Equity Shares","17482","0","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Vivek Sharma","Employees/Designated Employees","Equity Shares","11508","0",,"2345","474863","Buy","Equity Shares","13853","0","22-Dec-2025","22-Dec-2025","22-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Rajeev Bhargava","Employees/Designated Employees","Equity Shares","Nil","0",,"2000","745420","Buy","Equity Shares","2000","0","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Prachi Verma","Employees/Designated Employees","Equity Shares","Nil","0",,"19387","7225729","Buy","Equity Shares","19387","0","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Pranay Kumar Sinha","Employees/Designated Employees","Equity Shares","1000","0",,"3000","1118130","Buy","Equity Shares","4000","0","22-Dec-2025","22-Dec-2025","22-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Praveen Bilgaiyan","Employees/Designated Employees","Equity Shares","Nil","0",,"404","4040","Buy","Equity Shares","404","0","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192143_1589780_24122025060258_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","4438058","2.73",,"172066","1122466","Sell","Equity Shares","4265992","2.62","22-Dec-2025","23-Dec-2025","24-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192141_1589772_24122025055812_WEB.xml"
"JASH","Jash Engineering Limited","7(2)","Pratik Patel","Promoters","Equity Shares","7503805","11.96",,"75000","22912500","Buy","Equity Shares","7578805","12.05","19-Dec-2025","19-Dec-2025","22-Dec-2025","Conversion of security","-","-","0","0","0","0","NA","-","24-Dec-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192138_1589756_24122025054844_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Sadagopan S","-","Equity Shares","89","0",,"2213","3706775","Buy","Equity Shares","2302","0","19-Dec-2025","19-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 17:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192137_1589746_24122025054150_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","8022026","0.3",,"9374","15701450","Sell","Equity Shares","8012652","0.3","19-Dec-2025","19-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 17:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192137_1589746_24122025054150_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","TAJESHWAR SINGH","-","Equity Shares","18941","0",,"2337","3914475","Buy","Equity Shares","21278","0","19-Dec-2025","19-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 17:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192137_1589746_24122025054150_WEB.xml"
"JUBLFOOD","Jubilant Foodworks Limited","7(2)","JFL Employees Welfare Trust","Other","Equity Shares","2174820","0.33",,"9570","19140","Sell","Equity Shares","2165250","0.33","23-Dec-2025","23-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 17:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192135_1589732_24122025052307_WEB.xml"
"PASUPTAC","Pasupati Acrylon Limited","7(2)","Nityanand Exports & Consultants Company  Private Limited","Promoter Group","Equity Shares","6380","0.01",,"6380","0","Sell","Equity Shares","Nil","0","23-Dec-2025","23-Dec-2025","24-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","24-Dec-2025 17:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192133_1589709_24122025050253_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Vikas Bansal","-","Equity Shares","1086334","0.02",,"50000","8550000","Sell","Equity Shares","1036334","0.02","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Vikas Bansal","-","Equity Shares","1036334","0.02",,"50000","8600000","Sell","Equity Shares","986334","0.02","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Vikas Bansal","-","Equity Shares","1136334","0.02",,"50000","8450000","Sell","Equity Shares","1086334","0.02","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Vikas Bansal","-","Equity Shares","1186334","0.02",,"50000","8250000","Sell","Equity Shares","1136334","0.02","21-Dec-2025","21-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Adit Sunil Gupta","-","Equity Shares","2719405","0.04",,"20000","3380000","Sell","Equity Shares","2699405","0.04","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Kalpana Swaminathan","-","Equity Shares","318559","0.01",,"80000","12960000","Sell","Equity Shares","238559","0","19-Dec-2025","19-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Kalpana Swaminathan","-","Equity Shares","238559","0",,"20000","3400000","Sell","Equity Shares","218559","0","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"GROWW","Billionbrains Garage Ventures Limited","7(2)","Kalpana Swaminathan","-","Equity Shares","218559","0",,"20000","3420000","Sell","Equity Shares","198559","0","22-Dec-2025","22-Dec-2025","22-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192131_1589700_24122025045945_WEB.xml"
"PASUPTAC","Pasupati Acrylon Limited","7(2)","Inder Overseas Private Limited","Promoter Group","Equity Shares","1000000","1.12",,"1000000","0","Sell","Equity Shares","Nil","0","23-Dec-2025","23-Dec-2025","24-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","24-Dec-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192129_1589695_24122025045829_WEB.xml"
"PRITIKAUTO","Pritika Auto Industries Limited","7(2)","Pritika Industries Limited","-","Equity Shares","23400238","14.05",,"100000","1320000","Buy","Equity Shares","23500238","14.11","22-Dec-2025","24-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192127_1589682_24122025045312_WEB.xml"
"PASUPTAC","Pasupati Acrylon Limited","7(2)","Arihant Exports Private Limited","Promoter Group","Equity Shares","4627867","5.19",,"1006380","0","Buy","Equity Shares","5634247","6.32","23-Dec-2025","23-Dec-2025","24-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","24-Dec-2025 16:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192126_1589680_24122025045246_WEB.xml"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","7(3)","Dr Bharati Kinger","-","Equity Shares","93000","0",,"34329","22233504","Sell","Equity Shares","58671","0","19-Dec-2025","19-Dec-2025","23-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192123_1589654_24122025043933_WEB.xml"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","7(2)","Dr Bharati Kinger","Immediate relative","Equity Shares","18000","0",,"75000","0","Buy","Equity Shares","93000","0","30-Sep-2025","30-Sep-2025","23-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","24-Dec-2025 16:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192122_1589651_24122025043804_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communication Private Limited","Promoter Group","Equity Shares","-","0",,,"-","-","Equity Shares","-","-","-","-","-","-","-","-","0","0","0","0","-","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communication Private Limited","Promoter Group","Equity Shares","15732340","3.15",,"306995","18895481","Buy","Equity Shares","16039335","3.21","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communication Private Limited","Promoter Group","Equity Shares","-","0",,,"-","-","Equity Shares","-","-","-","-","-","-","-","-","0","0","0","0","-","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communications Private Limited","Promoter Group","Equity Shares","15732340","3.15",,"306995","18895480","Buy","Equity Shares","16039335","3.21","22-Dec-2025","22-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communications Private Limited","Promoter Group","Equity Shares","16039335","3.21",,"413192","26260748","Buy","Equity Shares","16452527","3.29","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"GATEWAY","Gateway Distriparks Limited","7(2)","Perfect Communications Private Limited","Promoter Group","Equity Shares","16452527","3.29",,"322086","20226292","Buy","Equity Shares","16774613","3.36","24-Dec-2025","24-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192120_1589646_24122025043312_WEB.xml"
"WTICAB","Wise Travel India Limited","7(2)","Vivek Laroia","Promoters","Equity Shares","4666062","19.59",,"183825","25000200","Sell","Equity Shares","4482237","18.82","23-Dec-2025","23-Dec-2025","23-Dec-2025","Off Market","-","-","0","0","0","0","NSE","-","24-Dec-2025 16:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192119_1589624_24122025042428_WEB.xml"
"KAJARIACER","Kajaria Ceramics Limited","7(2)","RISHI KAJARIA","Promoter Group","Equity Shares","1955716","1.23",,"30000","29400000","Buy","Equity Shares","1985716","1.25","24-Dec-2025","24-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 15:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192112_1589545_24122025034304_WEB.xml"
"RILINFRA","Rachana Infrastructure Limited","7(2)","GIRISHKUMAR OCHCHHAVLAL RAVAL","Promoters","Equity Shares","5914381","31.79",,"4800","177312","Buy","Equity Shares","5919181","31.82","23-Dec-2025","23-Dec-2025","24-Dec-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Dec-2025 15:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192111_1589524_24122025032633_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","MAHESH JAISALMERIA","-","Equity Shares","695","0",,"5000","1475000","Buy","Equity Shares","5695","0","20-Dec-2025","20-Dec-2025","22-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192109_1589517_24122025032204_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","MURALIDHARAN RAMAMURTHY PILLAI","-","Equity Shares","Nil","0",,"3300","2720421","Buy","Equity Shares","3300","0","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192109_1589517_24122025032204_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","NIKHIL SHARMA","-","Equity Shares","8151","0",,"4200","3462354","Buy","Equity Shares","12351","0.01","22-Dec-2025","22-Dec-2025","23-Dec-2025","ESOP","-","-","0","0","0","0","NA","-","24-Dec-2025 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192109_1589517_24122025032204_WEB.xml"
